key,description,values,example_answer
MARKETINGACTIVITY,"Atividades de marketing, como a taxa de conversão, que avaliam a eficácia em transformar prospects em clientes.",['conversão'],[{'MARKETINGACTIVITY': 'conversão'}]
OBJECT,"Um conceito amplo que se refere a algo identificável e manipulável, podendo ser tangível ou intangível em diversos contextos.","['a receber', 'faturas', 'OV', 'status', 'envios', 'itens', 'impacto', 'horas', 'em atraso']",[{'OBJECT': 'em atraso'}]
SHIPPINGSTATUS,"Estado de entrega de mercadorias em relação à data planejada, descrevendo a fase do processo de entrega.","['no dia solicitado de entrega', 'atrasado ao dia solicitado de entrega', 'antecipado ao dia solicitado de entrega']",[{'SHIPPINGSTATUS': 'antecipado ao dia solicitado de entrega'}]
RECEIPTSTATUS,"Estado de recebimento de pagamento em relação à data planejada, descrevendo a fase do processo financeiro.","['recebimento atrasado', 'recebimento no prazo', 'recebimento antecipado']",[{'RECEIPTSTATUS': 'recebimento antecipado'}]
CANAL,"Meio ou rota para disponibilizar produtos/serviços aos clientes, como Hospital e Farmácia, essenciais na distribuição de uma empresa.","['Ferro', 'Matéria Prima Geral']",[{'CANAL': 'Matéria Prima Geral'}]
ACTIVITY,Ação ou tarefa realizada para alcançar um objetivo.,"['Alterar Data de Cobrança do Item de Entrega', 'Alterar Preço do Item OV']",[{'ACTIVITY': 'Alterar Preço do Item OV'}]
CUSTOMER,Pessoa ou entidade que adquire produtos ou serviços em troca de pagamento.,"['Raia Drogasil', 'Americanas']",[{'CUSTOMER': 'Raia Drogasil'}]
COMMODITY,"Produto não processado, intercambiável e globalmente negociado, com preços influenciados pela oferta e demanda.","['Ferro', 'Matéria Prima Geral']",[{'COMMODITY': 'Ferro'}]
ANALYSISSTATUS,"Avaliação do estado atual de algo, como pedidos, por meio da coleta e interpretação de informações relevantes, permitindo tomar decisões informadas.","['Cancelados', 'Devolvidos', 'Rejeitados']",[{'ANALYSISSTATUS': 'Devolvidos'}]
CUSTOMERGROUP,"Segmentação de clientes em grupos com características semelhantes, permitindo estratégias personalizadas.","['Distr. Industrial', 'Dist. Varejo', 'Órgão Público']",[{'SALESORGANIZATION': 'Órgão Público'}]
SALESORGANIZATION,É uma estrutura dentro de uma empresa que se concentra na gestão e execução das atividades de vendas.,"['Indústria', 'Indústria do Aço', 'Exportação']",[{'SALESORGANIZATION': 'Indústria'}]
CONTEXT,É o contexto da conversa,"['Visão Geral', 'Análise do Ciclo da Ordem de Venda', 'Análise de Recebimento de pagamentos', 'Ordem de Venda Perfeita (Perfect SO)', 'Envios no prazo (""on-time shipment"")', 'Operação contas a receber', 'Análise de automação', 'Impacto na Receita']",[{'CONTEXT': 'Visão Geral'}]
